,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Plaza Prague Hotel,http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html,Prague,689 ,,2019/10/01,2019/10/05,$102,Booking.com,15,
1,BoHo Prague Hotel,http://www.tripadvisor.com/Hotel_Review-g274707-d8501421-Reviews-BoHo_Prague_Hotel-Prague_Bohemia.html,Prague,1422 ,,2019/10/01,2019/10/05,$296,Booking.com,15,
2,Alcron Hotel Prague,http://www.tripadvisor.com/Hotel_Review-g274707-d275546-Reviews-Alcron_Hotel_Prague-Prague_Bohemia.html,Prague,3868 ,,2019/10/01,2019/10/05,$186,Booking.com,15,
3,Park Inn Hotel Prague,http://www.tripadvisor.com/Hotel_Review-g274707-d1235795-Reviews-Park_Inn_Hotel_Prague-Prague_Bohemia.html,Prague,3072 ,,2019/10/01,2019/10/05,$124,Booking.com,15,
4,Don Giovanni Hotel Prague,http://www.tripadvisor.com/Hotel_Review-g274707-d276534-Reviews-Don_Giovanni_Hotel_Prague-Prague_Bohemia.html,Prague,2510 ,,2019/10/01,2019/10/05,,Booking.com,14,
5,Hotel Pod Vezi,http://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html,Prague,3709 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
6,Czech Inn,http://www.tripadvisor.com/Hotel_Review-g274707-d618230-Reviews-Czech_Inn-Prague_Bohemia.html,Prague,945 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
7,Grandium Prague,http://www.tripadvisor.com/Hotel_Review-g274707-d586728-Reviews-Grandium_Prague-Prague_Bohemia.html,Prague,2123 ,,2019/10/01,2019/10/05,,Booking.com,14,
8,ARCO Guesthouse,http://www.tripadvisor.com/Hotel_Review-g274707-d522448-Reviews-ARCO_Guesthouse-Prague_Bohemia.html,Prague,201 ,,2019/10/01,2019/10/05,,Booking.com,0,
9,Iris Hotel Eden,http://www.tripadvisor.com/Hotel_Review-g274707-d1110138-Reviews-Iris_Hotel_Eden-Prague_Bohemia.html,Prague,1081 ,,2019/10/01,2019/10/05,$96,TripAdvisor,12,
