,review_body,review_date,hotelName,hotelUrl
0,"Lovely hotel, staff friendly, rooms cleaned daily, lovely views. Breakfast fresh and yummy.Lovely chinese just next door too.Tram ride just outside,Also if you want to use taxi, use uber way cheaper!Deffo recommend.","July 11, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
1,"We stayed in Plaza for 4 night. Payed 90€ for for persons. In the price we had really nice room. Furniture in a little bit older but for the price its okay. Also fabolous breakfast was inclooded. Hotel is not in walkabel distance. Aircondition minimum is 20, so in these heat it was just so so. But for this price 100%","June 30, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
2,"We decided to visit the hotel after email conversation. Hotel has a room for immobile people and also parking place for invalids. Breakfast was really good. All entrances / to the room, elevator, restaurant / were no barier. 5","June 25, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
3,the hotel recommended us in the clinic where I stayed. I was in hotel one day before operation and 2 day after. I came to the hotel early in the moorning and I got the room in 20 minutes. Brakfast was good. Rooms comfortable.,"June 25, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
4,we visited prague in Jun. To be honest I was a little disappointed. Almost whole old town dont have AC. When its outside 30 its a killer. Luckily plaza has AC. very good breakfast and friendly staff. I recomend even in summer.,"June 24, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
5,"The room and amenities were great. Convenient to tram stop for visiting old town. American buffet breakfast can’t be beat. Staff at front desk very attentive to check in, recommendation on where to eat for traditional Czeck food. A/C is not up to US standards, but acceptable. Kudos to Jan and Denisa on front desk staff. Would stay here again","June 4, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
6,We booked the room for our partners. They were satisfied. The room is perfect. The breakfast is very good. There is calm. The parking possibility is not enough. The surrendings are nice. The hotel is very closed to the town.,"May 29, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
7,Delighted with our stay at the plaza . Excellent location for sightseeing with trams and metro right at their door. Staff were here friendly and helpful and I would definitely stay again.highly recommended ,"May 12, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
8,"We stayed two nights as part of a Trafalgar tour. Room 205. Hotel was quiet, with a comfortable bed. Fridge and mini bar and safe in room. Close to transport, supermarket and ATM. Good breakfast selection. The only bad thing was the towels were very worn.","April 27, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
9,we stayed in hotel before and thru easter. Room was not so big but with nice view. Separated bathroom with toilet is very important for us. Breakfast as a Great start to city trip. We had also nice weather so generaly for the Money we payd it was a Great stay- 5*,"April 21, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
10,"When I arrived at the hotel the staff were so kind and let me check in 2 hours early, they came up to my room to see if I liked it, throughout my stay the staff were so lovely and kind even the restaurant staff. I will definitely come back to this hotel I was well looked after!","April 8, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
11,"My stay was incredibly tranquil, spotlessly clean, the staff were a dream (special thanks to Kate and Irene for helping with my Czech pronunciation). The heavenly breakfast scrambled eggs are a must! My stay was unintentional due to a booking issue at my intended abode, but it proved to be a very happy error. Really can’t fault the place and team here. X","April 4, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
12,We like this hotel. Staff is very helpful and polite. We asked about places to visit around and they gave us some places which we can visit. Room was very tidy and clean. Everything good.I recomend this hotel.,"March 30, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
13,I had a really nice an dquite room. It was in the quiet part of hotel. I am vegetarian also for me it was important that there was a lot of non meat foot. What I saw also vegans will not have problem with that. Easy way to oldtow and good price for that what I get.,"March 21, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
14,"Really nice place to stay. Centre is reachable within 2 tram stations. Very nice staff and huge variety of breakfast. (Crepes, Fresh fruits, many juices, nutella, sausages and also baked beans. I would really recommand this place!","March 3, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
15,At the beggining we were very pleased about the hotel. For price 29€ per night we got nice room and really good breakfast. To the city it was not far away and everything was great. But then the reconstruction started. Noise and dirt. And I believe that because of that one day we didnt have hot water. I wanted to give 3x but on the other side thez are dooing something with the hotel ale without the rumble it is nice 4 stars hotel with 4x from me,"February 25, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
16,I stayed at hotel only for one night. Communication with the hotel was good. They answered for every question I had. Reception helped me after check in tto find the Iscare clinic. Breakfast was good - as I await from 4+ hotel. Room little bit noisy.,"February 24, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
17,"Beautiful modern clean room, kettle in the room for tea and coffee, great location and breakfast was amazing also with fresh fruit and many types of pastry, cakes and big choice. Huge comfortable beds, simply love it ","February 15, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
18,"After few months I travelled again to Prague. We had number of meetings in Holesovice my colleague booked Plaza Hotel for our stay. And what a surprise. The hotel has been changed we hardly recognize it. New design of guest rooms, new Italian restaurant /it used to be Mexican in the past/ with a good quality cuisine and wines. And attentive friendly staff - also a big change. Now we love this hotel.","February 8, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
19,"Its been a pleasant stay in hotel Plaza Prague. Stuff always friendly and helpful. Gate to garage is a bit tiny, but it is not too difficult to get there safety. Breakfast were delicious and plentifull.","January 31, 2019","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
20,"My first trip to Prague, and it was amazing, This hotel is smashing, very friendly and helpful staff, very good location, just across the road from a tram stop, and the room was excellent. Only remark is that the hospitality tray was a little lacking. Only 2 sachets of coffee and 2 tea bags. I would recommend taking a few sachets and tea bags with you, but its not a complaint, just a remark. The breakfast was superb, so much to choose from, you really couldn't fail to fill up before a long day sightseeing. I would highly recommend this hotel,","December 31, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
21,"The great thing about this hotel are the staff, a big thank you to Irena and Katka for been so happy helpful and for sorting out our room which our travel agent messed up on, also thanks to Tereza Seifertona for all your swift e-mails and confirming our transport to & from the Airport, all went perfectly well, and the restaurant Manager who was exceptional, the food was very good and so was the breakfast too 10/10. The Hotel & room's are very clean and the food was fabulous & drinks both very reasonably priced we ate there every night after a long day in the city, the trams stop's outside the hotel so it was easy to get to the main square number 6 tram 7 stop's same back too. My wife & I both enjoyed this hotel and would not hesitate to stay again. A big thank you to all the staff and wish you all a Happy New Year","December 29, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
22,Decent room for a good price.Friendly staff and a location 15 minutes away from the old town centrum and the tramstation is Just 100 meters away. Staff also know their english so communication is no problem. Breakfast is in english style and has enough to enjoy.,"December 26, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
23,"Have just returned from a fantastic weekend in Prague. 9 of us stayed in the Plaza Alta hotel. The location is perfect for exploring the city. The hotel is located across from a tram stop that will take you to Old Town Square or the castle in around 10 minutes. Rooms are clean, spacious and well equipped. Breakfast is served in the restaurant attached and offers a wide variety of cooked foods, pastries etc. Staff at the hotel were very friendly and helpful. We will definitely return to Prague and use this hotel as our base! ","December 16, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
24,"Party of 9 just returned from a 3 night stay at this immaculate, brilliantly placed hotel & it was so, so close to being 100% perfect. Lets get them out of the way - 2 small gripes - the lack of tea/coffee making facilities in standard rooms & slightly draughty/noisy windows - BUT, even these cant tarnish our view of this hotel which we would wholeheartedly recommend to anyone. Just a short walk to the underground metro station or the tram stop - we got around the city easily with 7 children, hoping on & off their fantastic public transport with tickets available at the corner shop opposite the tram stop. (Any tram takes you one stop to the underground metro c line ‘nadrai holesovic’ station) The 3 rooms we had were all modern, comfortable, spacious and very, very clean. Rooms were cleaned daily & fresh towels provided where required.The included breakfast was served in the 7 tacos restaurant accessible through reception and its was superb. Frequently restocked, buffet style, it included continental, full english, pancakes, a selection of fresh fruit & breads with teas, coffee and a selection of fruit juices. All very relaxed, we were never rushed but the staff were attentive and friendly. The location is the real bonus - approx 10 mins from the very centre of town in a residential area, which means you’ll pay more local prices in the surrounding restaurants & bars, rather than the capital city prices you find in town. We never paid more than £9 per person for a meal including 2 drinks in local restaurants. We used 3 of the local restaurants, all less than 5 mins walk - the adjacent Chinese, classic Czech cuisine at Zlata Kovadlina & the imposing but amazingly cool Cross Club. Great food, great beer, great prices. ","November 29, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
25,"My first impression was not excellent tbh because of it’s dated green Color facade, the small reception desk, the dark coloured carpet and the antique looking furniture in the room. BUT these were all changed on my 2nd night. I looked into the details; impeccably clean grout lines, clean siliconed areas, no cracks on wall, toilet marble top, no peeling of furniture, wall paper. This hotel is actually in really good shape. To maintain this level of upkeep throughout the years, it’s not easy yet plaza Alta does it really well. Breakfast was simple fare, not alot of variety BUT I had the best croissant (not even in Vienna) and honey from their spread. One other good thing is this newly opened restaurant, 1min walk from hotel called The Eatery, they have the best garlic soup and deep fried celery I ever had. Total 4 fab nights stay, thank you plaza Alta.","November 27, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
26,I stayed here with my daughter for her birthday. I would like to thank all the staff for the flowers and wine. Rooms could be bigger and Vetter lightning. We also had a late checkout till 2pm for a review. Thumb up!,"November 25, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
27,"We stayed here for 2 nights. The hotel is in a good location. Friendly staff. Rooms were large and the beds were comfortable. Because the hotel is not on a busy foad, it was quiet at night. Wifi worked great. Would stay again.","November 24, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
28,"Nice hotel, clean and very friendly staff. Rooms are OK, not brand new but well cleaned. My room was very silent. Only recommended to change the shower curtains against glass doors.Good restaurant with super service.","November 12, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
29,"Check in very quick. Went down for evening snacks expecting Mexican food only to be told it is now an Italian bistro with no live music. We did not eat but those who did said it was bland and very small portions.Room nice , sixth floor, clean, free safe, but tram noise could be heard until 2am and started again at 6am. Breakfast very good with lots of choice.No money exchange or purchase of tram tickets at reception. tram stop 200m from hotel to town ( 7 stops ), or one stop and then metro into town.Well positioned for travel but nothing else in area apart from very good Chinese restaurant next door which we used twice.","October 23, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
30,I stayed for 5 nights at the plaza Alta hotel . Rooms were clean but small . Towels and rooms cleaned daily . Dressing gown and slippers in room which was a bonus . Great WiFi . Breakfast was ok self service buffet . Only downside was I asked for a breakfast teabag one evening as there were none in the room and I never got it. Which was pretty annoying . The tram stop outside was great a number 6 takes you directly into town . If u buy a day ticket you can travel about once in town on any tram for 24 hours . Also a bonus the trams run 24 /7 . ,"October 22, 2018","0    Plaza Prague Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g274707-d276512-Reviews-Plaza_Prague_Hotel-Prague_Bohemia.html
